disasterNumber,declarationDate,disasterType,incidentType,title,region,state,hmgpCloseoutStatus,hmgpReconciliationDate,hmgpPopEndDate,obligatedTotalAmount,obligatedInitiativeAmount,obligatedPlanningAmount,obligatedRegularAmount,obligatedRecipientAdmin,obligatedSubrecipientAdmin,obligatedRecipientMgmtAmt,pendingProjectsQuantity,formattedDate,formattedyear
4337,2017-09-10 00:00:00+00:00,DR,Hurricane,HURRICANE IRMA,4,Florida,Open,,,387408830.19,0.0,10392439.5,346385065.45,0.0,0.0,23464801.29,11.0,September 2017,2017
1817,2009-01-30 00:00:00+00:00,DR,Flood,"SEVERE WINTER STORM, LANDSLIDES, MUDSLIDES, AND FLOODING",10,Washington,Closed,2018-09-26T00:00:00.000Z,,10634383.44,481716.0,389821.0,9302700.0,0.0,0.0,460146.44,0.0,January 2009,2009
5446,2022-08-03 00:00:00+00:00,FM,Fire,MILLER ROAD FIRE,10,Oregon,Open,,,518512.67,20970.83,57654.0,237015.0,0.0,0.0,196409.84,0.0,August 2022,2022
5488,2024-02-27 00:00:00+00:00,FM,Fire,SMOKEHOUSE CREEK FIRE,6,Texas,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,February 2024,2024
5099,2015-08-14 00:00:00+00:00,FM,Fire,CLEARWATER LAWYER BRANCH FIRE COMPLEX,10,Idaho,Open,,,347360.0,0.0,0.0,331166.0,0.0,0.0,16194.0,0.0,August 2015,2015
5110,2015-08-29 00:00:00+00:00,FM,Fire,TEPEE SPRINGS FIRE,10,Idaho,Open,,,347360.0,0.0,0.0,331166.0,0.0,0.0,16194.0,0.0,August 2015,2015
5090,2015-07-21 00:00:00+00:00,FM,Fire,BLUE CREEK FIRE,10,Washington,Closed,2021-09-27T00:00:00.000Z,,35216.25,0.0,25317.75,0.0,0.0,0.0,9898.5,0.0,July 2015,2015
4292,2016-12-02 00:00:00+00:00,DR,Flood,SEVERE STORMS AND FLOODING,3,Pennsylvania,Closed,2023-05-25T00:00:00.000Z,,3141703.03,0.0,0.0,2936544.03,0.0,0.0,205159.0,0.0,December 2016,2016
5105,2015-08-15 00:00:00+00:00,FM,Fire, MUNICIPAL FIRE,10,Idaho,Closed,2021-01-23T00:00:00.000Z,,31630.0,0.0,23182.0,0.0,0.0,0.0,8448.0,0.0,August 2015,2015
4563,2020-09-20 00:00:00+00:00,DR,Hurricane,HURRICANE SALLY,4,Alabama,Open,,,8861396.42,121374.07,0.0,7823641.2,0.0,0.0,592009.0,30.0,September 2020,2020
5166,2016-11-20 00:00:00+00:00,FM,Fire,SOUTHEASTERN KENTUCKY FIRE COMPLEX ,4,Kentucky,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,November 2016,2016
5472,2023-07-30 00:00:00+00:00,FM,Fire,EAGLE BLUFF FIRE,10,Washington,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,July 2023,2023
5524,2024-07-31 00:00:00+00:00,FM,Fire,ALEXANDER MOUNTAIN FIRE,8,Colorado,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,July 2024,2024
5432,2022-04-12 00:00:00+00:00,FM,Fire,MCBRIDE FIRE,6,New Mexico,Open,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,April 2022,2022
